,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tax Type,Item,"United States (excludes
Washington, DC)",Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,DC,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,"New
Hampshire","New
Jersey","New
Mexico",New York,"North
Carolina","North
Dakota",Ohio,Oklahoma,Oregon,Pennsylvania,"Rhode
Island","South
Carolina","South
Dakota",Tennessee,Texas,Utah,Vermont,Virginia,Washington,"West
Virginia",Wisconsin,Wyoming
Total Taxes,T00,"1,472,039,413","16,870,308","1,985,846","25,102,313","12,674,290","265,550,679","19,194,334","23,213,078","6,534,362","10,405,794","63,087,887","33,644,287","10,574,059","8,624,676","67,690,105","26,463,321","12,741,980","13,067,651","17,253,994","16,451,301","6,509,073","30,911,703","43,080,972","38,611,735","35,666,980","10,602,589","17,789,696","4,717,017","8,119,665","15,026,720","3,496,616","50,633,470","14,223,723","119,935,019","39,170,317","5,847,708","37,466,367","13,027,326","16,957,638","55,198,027","5,286,527","18,026,495","2,678,432","24,159,796","87,365,012","13,437,832","4,640,799","37,576,864","37,342,055","6,996,733","24,172,308","2,639,728"
Property taxes,T01,"24,172,940","620,698","130,855","1,357,144","1,515,978","3,558,041",X,X,X,"3,000,107",X,"862,884",X,X,"73,342","15,285",837,"952,523","808,162","131,236","39,993","994,776","15,416","2,811,062","731,865","30,361","46,136","481,087",126,"1,816,136","410,549","4,964","125,960",X,X,"5,818",X,X,"20,734","44,073","5,364","92,821",X,X,X,X,"1,307,255","45,114","4,614,073","9,350","91,171","401,751"
Sales and gross receipts taxes,TA1,"677,677,796","8,080,863","322,606","16,497,040","6,815,000","74,065,328","8,136,841","9,177,916","658,914","2,458,439","50,501,721","12,321,555","6,294,856","4,052,036","27,667,838","16,177,074","6,241,197","5,657,731","8,618,915","8,623,574","3,196,236","12,673,025","12,302,201","18,366,780","13,575,926","6,845,576","7,583,232","889,321","3,678,029","11,410,872","1,020,509","19,709,604","5,927,262","35,112,330","18,223,858","1,881,912","25,290,341","5,630,902","3,942,940","27,610,030","2,859,059","9,497,669","2,258,095","18,157,169","74,958,280","5,719,110","1,544,093","14,316,563","28,367,381","3,546,594","10,448,203","1,223,689"
     General sales and gross receipts,T09,"465,395,016","4,592,131",X,"13,156,640","5,068,041","53,333,417","4,666,039","6,231,910",X,"2,000,409","40,089,443","9,014,691","4,787,835","3,090,372","16,048,964","10,959,429","4,635,715","4,332,249","5,802,582","4,868,390","2,352,375","6,853,213","9,396,274","12,701,637","8,493,198","5,073,044","5,258,805",X,"2,974,813","8,401,907",X,"14,309,864","4,330,008","19,987,219","12,157,182","1,320,723","16,329,461","3,810,916","1,343,988","15,599,908","1,633,931","6,438,590","1,677,538","14,080,043","54,345,269","4,632,048","597,330","7,395,083","22,806,921","1,816,544","7,587,476","1,011,860"
     Selective sales and gross receipts taxes,TA2,"212,282,780","3,488,732","322,606","3,340,400","1,746,959","20,731,911","3,470,802","2,946,006","658,914","458,030","10,412,278","3,306,864","1,507,021","961,664","11,618,874","5,217,645","1,605,482","1,325,482","2,816,333","3,755,184","843,861","5,819,812","2,905,927","5,665,143","5,082,728","1,772,532","2,324,427","889,321","703,216","3,008,965","1,020,509","5,399,740","1,597,254","15,125,111","6,066,676","561,189","8,960,880","1,819,986","2,598,952","12,010,122","1,225,128","3,059,079","580,557","4,077,126","20,613,011","1,087,062","946,763","6,921,480","5,560,460","1,730,050","2,860,727","211,829"
          Amusements,T11,"11,991,992",0,"29,794","5,887","102,519",X,"175,745","45,595",X,121,"187,505",X,X,X,"1,440,138","621,032","344,524",313,0,"808,867","68,519","1,174,292","323,071","311,450","215,477","291,893","384,529","83,384","21,904","1,234,109",422,"518,897","67,835","163,277",0,"26,436","329,888","31,166",47,"2,279,809","407,524","59,950","12,731",0,"26,590",X,X,"123,906","21,918","43,544",166,"7,339"
          Insurance premiums,T12,"34,963,367","612,835","73,921","878,984","408,579","4,013,574","547,609","241,416","156,626","170,745","2,223,757","562,442","217,883","299,159","533,856","273,424","190,372","514,186","221,184","1,334,058","142,287","887,149","692,021","529,226","845,671","497,792","551,714","177,555","94,200","620,936","158,526","627,281","684,480","2,494,775","1,226,119","75,296","794,334","435,450","187,127","1,017,628","171,801","361,495","117,056","1,458,851","4,337,503","223,518","79,994","768,340","887,670","199,276","275,364","39,067"
          Motor fuels,T13,"58,471,778","971,667","45,770","891,325","618,053","9,238,349","718,609","559,741","136,253","21,778","3,519,818","1,759,944","80,796","392,848","2,781,899","1,733,059","680,282","458,281","905,611","621,900","246,826","1,248,840","713,227","1,554,763","888,215","452,748","1,027,286","288,187","415,358","394,968","178,334","471,593","319,399","1,598,546","2,491,257","189,354","2,782,538","593,226","719,089","3,380,028","150,733","1,029,005","197,954","1,273,899","3,846,675","643,143","122,874","1,872,635","1,534,646","445,055","1,168,683","118,489"
          Alcoholic beverages,T10,"8,410,807","283,550","40,304","88,510","80,049","418,105","56,047","65,090","31,680","7,027","341,378","223,549","51,602","11,285","311,137","55,713","17,369","170,795","195,087","76,153","18,973","34,102","98,421","204,903","111,311","41,648","49,029","48,247","32,690","50,390","12,019","184,384","48,522","276,066","598,684","10,729","118,270","180,380","22,509","473,078","21,225","222,752","20,889","327,426","1,790,174","18,936","11,978","288,823","478,088","20,319","76,307","2,132"
          Tobacco products,T16,"15,663,489","131,809","46,105","258,739","201,005","1,425,534","332,373","249,091","92,389","9,763","912,606","226,107","75,560","38,150","707,935","340,195","159,582","104,897","313,117","221,054","128,000","405,071","339,557","674,799","548,206","121,344","87,892","61,115","43,742","155,907","189,859","469,399","78,575","837,403","261,799","21,730","751,628","375,356","377,506","959,854","119,326","111,111","55,774","195,868","1,098,183","103,600","69,995","225,071","292,272","153,220","495,480","18,599"
          Public utilities,T15,"13,178,367","772,759","4,627","22,181",X,"967,091",X,"338,357","53,700","158,593","1,993,539",X,"159,222","2,072","1,208,336","20,470","76,802",314,"80,710","10,306","22,837","151,423","4,150","42,725","86,005","1,808",X,"40,515","65,924","77,456","30,614","236,078","104,087","781,133","127,619","35,593","1,205,241","115,484","15,565","1,395,154","102,998","28,571","3,578","10,301","874,884","65,938","10,219","476,061","807,844","132,150","410,008","5,918"
          Sports betting (including pari-mutuels),T18,"2,592,975","11,267",X,"40,671","7,840","21,385","30,198","23,100","8,849","3,795","12,165",X,X,"1,472","178,026","43,488","18,334","11,593","98,695","56,873","3,176","117,336","121,310","19,242","1,381","4,411",X,0,661,"68,611","33,655","147,419","1,287","912,874","41,781","1,467","143,850","1,049",X,"187,851","20,566",X,177,"87,569","4,203",X,"3,234","83,157","1,078","4,486",0,"17,188"
          Other selective sales and gross receipts,T19,"67,010,005","704,845","82,085","1,154,103","328,914","4,647,873","1,610,221","1,423,616","179,417","86,208","1,221,510","534,822","921,958","216,678","4,457,547","2,130,264","118,217","65,103","1,001,929","625,973","213,243","1,801,599","614,170","2,328,035","2,386,462","360,888","223,977","190,318","28,737","406,588","417,080","2,744,689","293,069","8,061,037","1,319,417","200,584","2,835,131","87,875","1,277,109","2,316,720","230,955","1,246,195","172,398","723,212","8,634,799","31,927","648,469","3,083,487","1,536,944","732,000","434,719","3,097"
Income taxes,TA4,"644,922,011","7,463,209","389,125","6,593,551","3,732,270","164,509,965","10,115,918","13,237,041","3,070,864","4,271,954","6,045,890","19,635,627","3,795,096","4,056,255","35,295,568","9,061,329","5,293,280","5,969,395","7,056,636","5,896,980","2,858,702","15,496,879","28,425,442","14,743,581","19,149,541","3,045,600","9,400,085","2,556,940","4,207,280",X,"1,401,979","27,091,457","2,781,940","77,058,114","18,223,476","612,922","10,020,919","5,202,631","11,223,340","22,035,563","2,188,794","7,496,591","60,718","3,050,692",X,"7,169,556","1,498,470","21,473,737","350,447","2,735,322","12,143,294",X
