Table with row headers in columns A and B and column headers in rows 4 through 6,,,,,,,,,,,
"Table 1. Reported Voting and Registration, by Sex and Single Years of Age: November 2024",,,,,,,,,,,
(Numbers in thousands),,,,,,,,,,,
Characteristics,,Total population,United States citizen,,,,,,,Total population,
,,,Total citizen population,Reported registered,Reported not registered,No response to registration1,Reported voted,Reported not voted,No response to voting2,Reported registered,Reported voted
,,,,Number,Number,Number,Number,Number,Number,Percent,Percent
BOTH SEXES,Total 18 years and over,"260,363","236,138","173,854","28,009","34,275","154,308","48,480","33,351",66.8,59.3
BOTH SEXES,18 to 24 years,"29,986","27,548","16,052","5,955","5,542","13,150","9,033","5,366",53.5,43.9
BOTH SEXES,25 to 34 years,"44,385","38,963","26,637","6,156","6,170","22,148","10,928","5,887",60.0,49.9
BOTH SEXES,35 to 44 years,"44,380","38,229","27,920","4,859","5,450","24,340","8,555","5,334",62.9,54.8
BOTH SEXES,45 to 54 years,"40,089","35,422","27,091","3,457","4,874","24,339","6,271","4,812",67.6,60.7
BOTH SEXES,55 to 64 years,"41,115","37,982","29,584","3,400","4,997","27,015","6,016","4,951",72.0,65.7
BOTH SEXES,65 to 74 years,"35,236","33,753","27,161","2,504","4,088","25,389","4,352","4,011",77.1,72.1
BOTH SEXES,75 years and over,"25,172","24,242","19,410","1,677","3,155","17,928","3,325","2,989",77.1,71.2
BOTH SEXES,18 years,"4,474","4,258","1,872","1,191","1,196","1,586","1,505","1,167",41.8,35.5
BOTH SEXES,19 years,"4,062","3,796","2,233",924,639,"1,744","1,452",601,55.0,42.9
BOTH SEXES,20 years,"4,100","3,733","2,116",883,733,"1,664","1,370",699,51.6,40.6
BOTH SEXES,21 years,"4,256","4,014","2,318",791,906,"1,887","1,299",829,54.5,44.3
BOTH SEXES,22 years,"4,286","3,865","2,440",753,672,"2,054","1,126",685,56.9,47.9
BOTH SEXES,23 years,"3,952","3,555","2,323",627,606,"1,939","1,000",617,58.8,49.1
BOTH SEXES,24 years,"4,857","4,326","2,751",785,790,"2,276","1,282",769,56.6,46.9
BOTH SEXES,25 years,"4,029","3,604","2,316",641,648,"1,852","1,110",642,57.5,46.0
BOTH SEXES,26 years,"4,450","3,881","2,598",532,751,"2,227",936,718,58.4,50.0
BOTH SEXES,27 years,"4,220","3,718","2,411",683,623,"1,958","1,134",626,57.1,46.4
BOTH SEXES,28 years,"4,331","3,871","2,575",643,653,"2,134","1,155",582,59.4,49.3
BOTH SEXES,29 years,"4,382","3,757","2,671",657,428,"2,216","1,110",431,61.0,50.6
BOTH SEXES,30 years,"4,613","4,094","2,853",616,625,"2,375","1,107",611,61.8,51.5
BOTH SEXES,31 years,"4,455","3,916","2,756",580,580,"2,285","1,102",529,61.9,51.3
BOTH SEXES,32 years,"4,501","3,942","2,782",592,567,"2,288","1,093",561,61.8,50.8
BOTH SEXES,33 years,"4,501","3,918","2,729",555,635,"2,330","1,051",538,60.6,51.8
BOTH SEXES,34 years,"4,903","4,263","2,946",658,659,"2,483","1,130",650,60.1,50.6
BOTH SEXES,35 years,"4,506","3,932","2,681",613,639,"2,255","1,020",657,59.5,50.1
BOTH SEXES,36 years,"4,434","3,887","2,727",590,570,"2,364",974,549,61.5,53.3
BOTH SEXES,37 years,"4,367","3,784","2,821",456,507,"2,436",877,471,64.6,55.8
BOTH SEXES,38 years,"4,790","4,101","2,937",503,661,"2,608",845,647,61.3,54.5
BOTH SEXES,39 years,"4,409","3,684","2,696",509,479,"2,379",820,485,61.1,54.0
BOTH SEXES,40 years,"4,635","4,009","3,000",531,478,"2,635",930,444,64.7,56.8
BOTH SEXES,41 years,"4,217","3,659","2,753",436,471,"2,458",742,460,65.3,58.3
BOTH SEXES,42 years,"4,201","3,579","2,646",363,571,"2,271",757,551,63.0,54.1
BOTH SEXES,43 years,"4,183","3,561","2,687",417,456,"2,322",770,469,64.2,55.5
BOTH SEXES,44 years,"4,639","4,032","2,972",440,620,"2,611",820,602,64.1,56.3
BOTH SEXES,45 years,"4,052","3,545","2,787",353,406,"2,461",670,415,68.8,60.7
BOTH SEXES,46 years,"4,098","3,555","2,816",361,378,"2,496",704,355,68.7,60.9
BOTH SEXES,47 years,"4,092","3,566","2,675",330,561,"2,389",637,540,65.4,58.4
BOTH SEXES,48 years,"4,033","3,566","2,714",359,493,"2,425",656,486,67.3,60.1
BOTH SEXES,49 years,"3,723","3,166","2,399",309,458,"2,172",545,449,64.5,58.4
BOTH SEXES,50 years,"3,998","3,572","2,602",390,580,"2,348",655,570,65.1,58.7
BOTH SEXES,51 years,"3,815","3,380","2,651",265,464,"2,392",505,483,69.5,62.7
BOTH SEXES,52 years,"3,942","3,518","2,660",332,527,"2,389",597,533,67.5,60.6
